TimeStamp,,,,TimeStamp,,Specification,Value,Unit
14:19:53.087 -> Flow rate: 75.00 L/m,,,,19:53.1,->,Flow rate:,75,L/m
14:19:53.182 -> Flow rate: 58.33 L/m,,,,19:53.2,->,Flow rate:,58.33,L/m
14:19:53.277 -> Flow rate: 66.67 L/m,,,,19:53.3,->,Flow rate:,66.67,L/m
14:19:53.365 -> Flow rate: 66.67 L/m,,,,19:53.4,->,Flow rate:,66.67,L/m
14:19:53.453 -> Flow rate: 66.67 L/m,,,,19:53.5,->,Flow rate:,66.67,L/m
14:19:53.596 -> Flow rate: 58.33 L/m,,,,19:53.6,->,Flow rate:,58.33,L/m
14:19:53.691 -> Flow rate: 66.67 L/m,,,,19:53.7,->,Flow rate:,66.67,L/m
14:19:53.786 -> Flow rate: 66.67 L/m,,,,19:53.8,->,Flow rate:,66.67,L/m
14:19:53.882 -> Flow rate: 58.33 L/m,,,,19:53.9,->,Flow rate:,58.33,L/m
14:19:53.976 -> Flow rate: 66.67 L/m,,,,19:54.0,->,Flow rate:,66.67,L/m
14:19:54.071 -> Flow rate: 66.67 L/m,,,,19:54.1,->,Flow rate:,66.67,L/m
14:19:54.181 -> Flow rate: 66.67 L/m,,,,19:54.2,->,Flow rate:,66.67,L/m
14:19:54.277 -> Flow rate: 58.33 L/m,,,,19:54.3,->,Flow rate:,58.33,L/m
14:19:54.362 -> Flow rate: 58.33 L/m,,,,19:54.4,->,Flow rate:,58.33,L/m
14:19:54.451 -> Flow rate: 66.67 L/m,,,,19:54.5,->,Flow rate:,66.67,L/m
14:19:54.608 -> Flow rate: 66.67 L/m,,,,19:54.6,->,Flow rate:,66.67,L/m
14:19:54.671 -> Flow rate: 58.33 L/m,,,,19:54.7,->,Flow rate:,58.33,L/m
14:19:54.765 -> Flow rate: 66.67 L/m,,,,19:54.8,->,Flow rate:,66.67,L/m
14:19:54.860 -> Flow rate: 66.67 L/m,,,,19:54.9,->,Flow rate:,66.67,L/m
14:19:54.954 -> Flow rate: 58.33 L/m,,,,19:55.0,->,Flow rate:,58.33,L/m
14:19:55.048 -> Flow rate: 66.67 L/m,,,,19:55.0,->,Flow rate:,66.67,L/m
14:19:55.189 -> Flow rate: 66.67 L/m,,,,19:55.2,->,Flow rate:,66.67,L/m
14:19:55.284 -> Flow rate: 66.67 L/m,,,,19:55.3,->,Flow rate:,66.67,L/m
14:19:55.382 -> Flow rate: 66.67 L/m,,,,19:55.4,->,Flow rate:,66.67,L/m
14:19:55.475 -> Flow rate: 66.67 L/m,,,,19:55.5,->,Flow rate:,66.67,L/m
14:19:55.554 -> Flow rate: 66.67 L/m,,,,19:55.6,->,Flow rate:,66.67,L/m
14:19:55.699 -> Flow rate: 66.67 L/m,,,,19:55.7,->,Flow rate:,66.67,L/m
14:19:55.761 -> Flow rate: 75.00 L/m,,,,19:55.8,->,Flow rate:,75,L/m
14:19:55.855 -> Flow rate: 66.67 L/m,,,,19:55.9,->,Flow rate:,66.67,L/m
14:19:55.949 -> Flow rate: 66.67 L/m,,,,19:55.9,->,Flow rate:,66.67,L/m
14:19:56.091 -> Flow rate: 66.67 L/m,,,,19:56.1,->,Flow rate:,66.67,L/m
14:19:56.186 -> Flow rate: 66.67 L/m,,,,19:56.2,->,Flow rate:,66.67,L/m
14:19:56.297 -> Flow rate: 66.67 L/m,,,,19:56.3,->,Flow rate:,66.67,L/m
14:19:56.391 -> Flow rate: 66.67 L/m,,,,19:56.4,->,Flow rate:,66.67,L/m
14:19:56.486 -> Flow rate: 58.33 L/m,,,,19:56.5,->,Flow rate:,58.33,L/m
14:19:56.581 -> Flow rate: 66.67 L/m,,,,19:56.6,->,Flow rate:,66.67,L/m
14:19:56.675 -> Flow rate: 66.67 L/m,,,,19:56.7,->,Flow rate:,66.67,L/m
14:19:56.775 -> Flow rate: 58.33 L/m,,,,19:56.8,->,Flow rate:,58.33,L/m
14:19:56.865 -> Flow rate: 66.67 L/m,,,,19:56.9,->,Flow rate:,66.67,L/m
14:19:56.960 -> Flow rate: 58.33 L/m,,,,19:57.0,->,Flow rate:,58.33,L/m
14:19:57.054 -> Flow rate: 58.33 L/m,,,,19:57.1,->,Flow rate:,58.33,L/m
14:19:57.148 -> Flow rate: 58.33 L/m,,,,19:57.1,->,Flow rate:,58.33,L/m
14:19:57.252 -> Flow rate: 66.67 L/m,,,,19:57.3,->,Flow rate:,66.67,L/m
14:19:57.391 -> Flow rate: 58.33 L/m,,,,19:57.4,->,Flow rate:,58.33,L/m
14:19:57.481 -> Flow rate: 66.67 L/m,,,,19:57.5,->,Flow rate:,66.67,L/m
14:19:57.576 -> Flow rate: 66.67 L/m,,,,19:57.6,->,Flow rate:,66.67,L/m
14:19:57.671 -> Flow rate: 66.67 L/m,,,,19:57.7,->,Flow rate:,66.67,L/m
14:19:57.764 -> Flow rate: 66.67 L/m,,,,19:57.8,->,Flow rate:,66.67,L/m
14:19:57.859 -> Flow rate: 58.33 L/m,,,,19:57.9,->,Flow rate:,58.33,L/m
14:19:57.954 -> Flow rate: 66.67 L/m,,,,19:58.0,->,Flow rate:,66.67,L/m
14:19:58.049 -> Flow rate: 66.67 L/m,,,,19:58.0,->,Flow rate:,66.67,L/m
14:19:58.191 -> Flow rate: 66.67 L/m,,,,19:58.2,->,Flow rate:,66.67,L/m
14:19:58.286 -> Flow rate: 58.33 L/m,,,,19:58.3,->,Flow rate:,58.33,L/m
14:19:58.381 -> Flow rate: 66.67 L/m,,,,19:58.4,->,Flow rate:,66.67,L/m
14:19:58.476 -> Flow rate: 66.67 L/m,,,,19:58.5,->,Flow rate:,66.67,L/m
14:19:58.556 -> Flow rate: 66.67 L/m,,,,19:58.6,->,Flow rate:,66.67,L/m
14:19:58.697 -> Flow rate: 66.67 L/m,,,,19:58.7,->,Flow rate:,66.67,L/m
14:19:58.791 -> Flow rate: 58.33 L/m,,,,19:58.8,->,Flow rate:,58.33,L/m
14:19:58.891 -> Flow rate: 66.67 L/m,,,,19:58.9,->,Flow rate:,66.67,L/m
14:19:58.981 -> Flow rate: 58.33 L/m,,,,19:59.0,->,Flow rate:,58.33,L/m
14:19:59.076 -> Flow rate: 66.67 L/m,,,,19:59.1,->,Flow rate:,66.67,L/m
14:19:59.171 -> Flow rate: 58.33 L/m,,,,19:59.2,->,Flow rate:,58.33,L/m
14:19:59.266 -> Flow rate: 66.67 L/m,,,,19:59.3,->,Flow rate:,66.67,L/m
14:19:59.360 -> Flow rate: 58.33 L/m,,,,19:59.4,->,Flow rate:,58.33,L/m
14:19:59.487 -> Flow rate: 58.33 L/m,,,,19:59.5,->,Flow rate:,58.33,L/m
14:19:59.582 -> Flow rate: 58.33 L/m,,,,19:59.6,->,Flow rate:,58.33,L/m
14:19:59.677 -> Flow rate: 50.00 L/m,,,,19:59.7,->,Flow rate:,50,L/m
14:19:59.772 -> Flow rate: 58.33 L/m,,,,19:59.8,->,Flow rate:,58.33,L/m
14:19:59.883 -> Flow rate: 50.00 L/m,,,,19:59.9,->,Flow rate:,50,L/m
14:19:59.978 -> Flow rate: 58.33 L/m,,,,20:00.0,->,Flow rate:,58.33,L/m
14:20:00.073 -> Flow rate: 50.00 L/m,,,,20:00.1,->,Flow rate:,50,L/m
14:20:00.167 -> Flow rate: 58.33 L/m,,,,20:00.2,->,Flow rate:,58.33,L/m
14:20:00.263 -> Flow rate: 58.33 L/m,,,,20:00.3,->,Flow rate:,58.33,L/m
14:20:00.357 -> Flow rate: 50.00 L/m,,,,20:00.4,->,Flow rate:,50,L/m
14:20:00.452 -> Flow rate: 58.33 L/m,,,,20:00.5,->,Flow rate:,58.33,L/m
14:20:00.547 -> Flow rate: 66.67 L/m,,,,20:00.5,->,Flow rate:,66.67,L/m
14:20:00.690 -> Flow rate: 58.33 L/m,,,,20:00.7,->,Flow rate:,58.33,L/m
14:20:00.786 -> Flow rate: 66.67 L/m,,,,20:00.8,->,Flow rate:,66.67,L/m
14:20:00.885 -> Flow rate: 66.67 L/m,,,,20:00.9,->,Flow rate:,66.67,L/m
14:20:00.976 -> Flow rate: 66.67 L/m,,,,20:01.0,->,Flow rate:,66.67,L/m
14:20:01.055 -> Flow rate: 66.67 L/m,,,,20:01.1,->,Flow rate:,66.67,L/m
14:20:01.150 -> Flow rate: 66.67 L/m,,,,20:01.2,->,Flow rate:,66.67,L/m
14:20:01.246 -> Flow rate: 66.67 L/m,,,,20:01.2,->,Flow rate:,66.67,L/m
14:20:01.388 -> Flow rate: 66.67 L/m,,,,20:01.4,->,Flow rate:,66.67,L/m
14:20:01.481 -> Flow rate: 58.33 L/m,,,,20:01.5,->,Flow rate:,58.33,L/m
14:20:01.583 -> Flow rate: 66.67 L/m,,,,20:01.6,->,Flow rate:,66.67,L/m
14:20:01.671 -> Flow rate: 58.33 L/m,,,,20:01.7,->,Flow rate:,58.33,L/m
14:20:01.765 -> Flow rate: 66.67 L/m,,,,20:01.8,->,Flow rate:,66.67,L/m
14:20:01.859 -> Flow rate: 58.33 L/m,,,,20:01.9,->,Flow rate:,58.33,L/m
14:20:01.955 -> Flow rate: 58.33 L/m,,,,20:02.0,->,Flow rate:,58.33,L/m
14:20:02.097 -> Flow rate: 58.33 L/m,,,,20:02.1,->,Flow rate:,58.33,L/m
14:20:02.191 -> Flow rate: 58.33 L/m,,,,20:02.2,->,Flow rate:,58.33,L/m
14:20:02.286 -> Flow rate: 66.67 L/m,,,,20:02.3,->,Flow rate:,66.67,L/m
14:20:02.382 -> Flow rate: 58.33 L/m,,,,20:02.4,->,Flow rate:,58.33,L/m
14:20:02.461 -> Flow rate: 66.67 L/m,,,,20:02.5,->,Flow rate:,66.67,L/m
14:20:02.555 -> Flow rate: 66.67 L/m,,,,20:02.6,->,Flow rate:,66.67,L/m
14:20:02.698 -> Flow rate: 66.67 L/m,,,,20:02.7,->,Flow rate:,66.67,L/m
14:20:02.800 -> Flow rate: 75.00 L/m,,,,20:02.8,->,Flow rate:,75,L/m
14:20:02.887 -> Flow rate: 66.67 L/m,,,,20:02.9,->,Flow rate:,66.67,L/m
14:20:02.982 -> Flow rate: 66.67 L/m,,,,20:03.0,->,Flow rate:,66.67,L/m
14:20:03.077 -> Flow rate: 66.67 L/m,,,,20:03.1,->,Flow rate:,66.67,L/m
14:20:03.172 -> Flow rate: 66.67 L/m,,,,20:03.2,->,Flow rate:,66.67,L/m
14:20:03.267 -> Flow rate: 66.67 L/m,,,,20:03.3,->,Flow rate:,66.67,L/m
14:20:03.361 -> Flow rate: 66.67 L/m,,,,20:03.4,->,Flow rate:,66.67,L/m
14:20:03.457 -> Flow rate: 66.67 L/m,,,,20:03.5,->,Flow rate:,66.67,L/m
14:20:03.554 -> Flow rate: 66.67 L/m,,,,20:03.6,->,Flow rate:,66.67,L/m
14:20:03.695 -> Flow rate: 66.67 L/m,,,,20:03.7,->,Flow rate:,66.67,L/m
14:20:03.789 -> Flow rate: 66.67 L/m,,,,20:03.8,->,Flow rate:,66.67,L/m
14:20:03.886 -> Flow rate: 66.67 L/m,,,,20:03.9,->,Flow rate:,66.67,L/m
14:20:03.980 -> Flow rate: 66.67 L/m,,,,20:04.0,->,Flow rate:,66.67,L/m
14:20:04.075 -> Flow rate: 66.67 L/m,,,,20:04.1,->,Flow rate:,66.67,L/m
14:20:04.169 -> Flow rate: 66.67 L/m,,,,20:04.2,->,Flow rate:,66.67,L/m
14:20:04.264 -> Flow rate: 66.67 L/m,,,,20:04.3,->,Flow rate:,66.67,L/m
14:20:04.358 -> Flow rate: 66.67 L/m,,,,20:04.4,->,Flow rate:,66.67,L/m
14:20:04.454 -> Flow rate: 66.67 L/m,,,,20:04.5,->,Flow rate:,66.67,L/m
14:20:04.549 -> Flow rate: 75.00 L/m,,,,20:04.5,->,Flow rate:,75,L/m
14:20:04.655 -> Flow rate: 66.67 L/m,,,,20:04.7,->,Flow rate:,66.67,L/m
14:20:04.754 -> Flow rate: 58.33 L/m,,,,20:04.8,->,Flow rate:,58.33,L/m
14:20:04.865 -> Flow rate: 75.00 L/m,,,,20:04.9,->,Flow rate:,75,L/m
14:20:04.960 -> Flow rate: 66.67 L/m,,,,20:05.0,->,Flow rate:,66.67,L/m
14:20:05.055 -> Flow rate: 66.67 L/m,,,,20:05.1,->,Flow rate:,66.67,L/m
14:20:05.149 -> Flow rate: 66.67 L/m,,,,20:05.1,->,Flow rate:,66.67,L/m
14:20:05.292 -> Flow rate: 58.33 L/m,,,,20:05.3,->,Flow rate:,58.33,L/m
14:20:05.370 -> Flow rate: 66.67 L/m,,,,20:05.4,->,Flow rate:,66.67,L/m
14:20:05.466 -> Flow rate: 66.67 L/m,,,,20:05.5,->,Flow rate:,66.67,L/m
14:20:05.561 -> Flow rate: 58.33 L/m,,,,20:05.6,->,Flow rate:,58.33,L/m
14:20:05.655 -> Flow rate: 58.33 L/m,,,,20:05.7,->,Flow rate:,58.33,L/m
14:20:05.814 -> Flow rate: 66.67 L/m,,,,20:05.8,->,Flow rate:,66.67,L/m
14:20:05.862 -> Flow rate: 58.33 L/m,,,,20:05.9,->,Flow rate:,58.33,L/m
14:20:05.957 -> Flow rate: 58.33 L/m,,,,20:06.0,->,Flow rate:,58.33,L/m
14:20:06.099 -> Flow rate: 66.67 L/m,,,,20:06.1,->,Flow rate:,66.67,L/m
14:20:06.178 -> Flow rate: 66.67 L/m,,,,20:06.2,->,Flow rate:,66.67,L/m
14:20:06.273 -> Flow rate: 66.67 L/m,,,,20:06.3,->,Flow rate:,66.67,L/m
14:20:06.373 -> Flow rate: 66.67 L/m,,,,20:06.4,->,Flow rate:,66.67,L/m
14:20:06.476 -> Flow rate: 58.33 L/m,,,,20:06.5,->,Flow rate:,58.33,L/m
14:20:06.558 -> Flow rate: 66.67 L/m,,,,20:06.6,->,Flow rate:,66.67,L/m
14:20:06.653 -> Flow rate: 66.67 L/m,,,,20:06.7,->,Flow rate:,66.67,L/m
14:20:06.780 -> Flow rate: 66.67 L/m,,,,20:06.8,->,Flow rate:,66.67,L/m
14:20:06.907 -> Flow rate: 66.67 L/m,,,,20:06.9,->,Flow rate:,66.67,L/m
14:20:06.955 -> Flow rate: 66.67 L/m,,,,20:07.0,->,Flow rate:,66.67,L/m
14:20:07.096 -> Flow rate: 66.67 L/m,,,,20:07.1,->,Flow rate:,66.67,L/m
14:20:07.191 -> Flow rate: 66.67 L/m,,,,20:07.2,->,Flow rate:,66.67,L/m
14:20:07.286 -> Flow rate: 66.67 L/m,,,,20:07.3,->,Flow rate:,66.67,L/m
14:20:07.380 -> Flow rate: 66.67 L/m,,,,20:07.4,->,Flow rate:,66.67,L/m
14:20:07.476 -> Flow rate: 66.67 L/m,,,,20:07.5,->,Flow rate:,66.67,L/m
14:20:07.577 -> Flow rate: 66.67 L/m,,,,20:07.6,->,Flow rate:,66.67,L/m
14:20:07.667 -> Flow rate: 66.67 L/m,,,,20:07.7,->,Flow rate:,66.67,L/m
14:20:07.748 -> Flow rate: 75.00 L/m,,,,20:07.7,->,Flow rate:,75,L/m
14:20:07.889 -> Flow rate: 66.67 L/m,,,,20:07.9,->,Flow rate:,66.67,L/m
14:20:07.984 -> Flow rate: 66.67 L/m,,,,20:08.0,->,Flow rate:,66.67,L/m
14:20:08.080 -> Flow rate: 66.67 L/m,,,,20:08.1,->,Flow rate:,66.67,L/m
14:20:08.160 -> Flow rate: 66.67 L/m,,,,20:08.2,->,Flow rate:,66.67,L/m
14:20:08.287 -> Flow rate: 66.67 L/m,,,,20:08.3,->,Flow rate:,66.67,L/m
14:20:08.398 -> Flow rate: 66.67 L/m,,,,20:08.4,->,Flow rate:,66.67,L/m
14:20:08.492 -> Flow rate: 66.67 L/m,,,,20:08.5,->,Flow rate:,66.67,L/m
14:20:08.587 -> Flow rate: 66.67 L/m,,,,20:08.6,->,Flow rate:,66.67,L/m
14:20:08.665 -> Flow rate: 66.67 L/m,,,,20:08.7,->,Flow rate:,66.67,L/m
14:20:08.808 -> Flow rate: 66.67 L/m,,,,20:08.8,->,Flow rate:,66.67,L/m
14:20:08.855 -> Flow rate: 66.67 L/m,,,,20:08.9,->,Flow rate:,66.67,L/m
14:20:08.982 -> Flow rate: 66.67 L/m,,,,20:09.0,->,Flow rate:,66.67,L/m
14:20:09.077 -> Flow rate: 58.33 L/m,,,,20:09.1,->,Flow rate:,58.33,L/m
14:20:09.173 -> Flow rate: 66.67 L/m,,,,20:09.2,->,Flow rate:,66.67,L/m
14:20:09.251 -> Flow rate: 66.67 L/m,,,,20:09.3,->,Flow rate:,66.67,L/m
14:20:09.385 -> Flow rate: 66.67 L/m,,,,20:09.4,->,Flow rate:,66.67,L/m
14:20:09.457 -> Flow rate: 66.67 L/m,,,,20:09.5,->,Flow rate:,66.67,L/m
14:20:09.608 -> Flow rate: 58.33 L/m,,,,20:09.6,->,Flow rate:,58.33,L/m
14:20:09.692 -> Flow rate: 58.33 L/m,,,,20:09.7,->,Flow rate:,58.33,L/m
14:20:09.787 -> Flow rate: 58.33 L/m,,,,20:09.8,->,Flow rate:,58.33,L/m
14:20:09.882 -> Flow rate: 58.33 L/m,,,,20:09.9,->,Flow rate:,58.33,L/m
14:20:09.945 -> Flow rate: 58.33 L/m,,,,20:09.9,->,Flow rate:,58.33,L/m
14:20:10.086 -> Flow rate: 58.33 L/m,,,,20:10.1,->,Flow rate:,58.33,L/m
14:20:10.181 -> Flow rate: 58.33 L/m,,,,20:10.2,->,Flow rate:,58.33,L/m
14:20:10.260 -> Flow rate: 66.67 L/m,,,,20:10.3,->,Flow rate:,66.67,L/m
14:20:10.372 -> Flow rate: 58.33 L/m,,,,20:10.4,->,Flow rate:,58.33,L/m
14:20:10.467 -> Flow rate: 58.33 L/m,,,,20:10.5,->,Flow rate:,58.33,L/m
14:20:10.566 -> Flow rate: 58.33 L/m,,,,20:10.6,->,Flow rate:,58.33,L/m
14:20:10.656 -> Flow rate: 66.67 L/m,,,,20:10.7,->,Flow rate:,66.67,L/m
14:20:10.757 -> Flow rate: 66.67 L/m,,,,20:10.8,->,Flow rate:,66.67,L/m
14:20:10.856 -> Flow rate: 58.33 L/m,,,,20:10.9,->,Flow rate:,58.33,L/m
14:20:10.990 -> Flow rate: 66.67 L/m,,,,20:11.0,->,Flow rate:,66.67,L/m
14:20:11.083 -> Flow rate: 58.33 L/m,,,,20:11.1,->,Flow rate:,58.33,L/m
14:20:11.182 -> Flow rate: 66.67 L/m,,,,20:11.2,->,Flow rate:,66.67,L/m
14:20:11.273 -> Flow rate: 58.33 L/m,,,,20:11.3,->,Flow rate:,58.33,L/m
14:20:11.367 -> Flow rate: 58.33 L/m,,,,20:11.4,->,Flow rate:,58.33,L/m
14:20:11.462 -> Flow rate: 66.67 L/m,,,,20:11.5,->,Flow rate:,66.67,L/m
14:20:11.558 -> Flow rate: 66.67 L/m,,,,20:11.6,->,Flow rate:,66.67,L/m
14:20:11.686 -> Flow rate: 66.67 L/m,,,,20:11.7,->,Flow rate:,66.67,L/m
14:20:11.782 -> Flow rate: 58.33 L/m,,,,20:11.8,->,Flow rate:,58.33,L/m
14:20:11.875 -> Flow rate: 66.67 L/m,,,,20:11.9,->,Flow rate:,66.67,L/m
14:20:11.970 -> Flow rate: 66.67 L/m,,,,20:12.0,->,Flow rate:,66.67,L/m
14:20:12.066 -> Flow rate: 66.67 L/m,,,,20:12.1,->,Flow rate:,66.67,L/m
14:20:12.161 -> Flow rate: 58.33 L/m,,,,20:12.2,->,Flow rate:,58.33,L/m
14:20:12.299 -> Flow rate: 66.67 L/m,,,,20:12.3,->,Flow rate:,66.67,L/m
14:20:12.368 -> Flow rate: 58.33 L/m,,,,20:12.4,->,Flow rate:,58.33,L/m
14:20:12.463 -> Flow rate: 58.33 L/m,,,,20:12.5,->,Flow rate:,58.33,L/m
14:20:12.558 -> Flow rate: 50.00 L/m,,,,20:12.6,->,Flow rate:,50,L/m
14:20:12.654 -> Flow rate: 58.33 L/m,,,,20:12.7,->,Flow rate:,58.33,L/m
14:20:12.797 -> Flow rate: 58.33 L/m,,,,20:12.8,->,Flow rate:,58.33,L/m
14:20:12.892 -> Flow rate: 58.33 L/m,,,,20:12.9,->,Flow rate:,58.33,L/m
14:20:12.987 -> Flow rate: 66.67 L/m,,,,20:13.0,->,Flow rate:,66.67,L/m
14:20:13.083 -> Flow rate: 58.33 L/m,,,,20:13.1,->,Flow rate:,58.33,L/m
14:20:13.173 -> Flow rate: 66.67 L/m,,,,20:13.2,->,Flow rate:,66.67,L/m
14:20:13.260 -> Flow rate: 58.33 L/m,,,,20:13.3,->,Flow rate:,58.33,L/m
14:20:13.355 -> Flow rate: 58.33 L/m,,,,20:13.4,->,Flow rate:,58.33,L/m
14:20:13.497 -> Flow rate: 58.33 L/m,,,,20:13.5,->,Flow rate:,58.33,L/m
14:20:13.581 -> Flow rate: 58.33 L/m,,,,20:13.6,->,Flow rate:,58.33,L/m
14:20:13.674 -> Flow rate: 50.00 L/m,,,,20:13.7,->,Flow rate:,50,L/m
14:20:13.755 -> Flow rate: 58.33 L/m,,,,20:13.8,->,Flow rate:,58.33,L/m
14:20:13.897 -> Flow rate: 58.33 L/m,,,,20:13.9,->,Flow rate:,58.33,L/m
14:20:13.991 -> Flow rate: 66.67 L/m,,,,20:14.0,->,Flow rate:,66.67,L/m
14:20:14.086 -> Flow rate: 58.33 L/m,,,,20:14.1,->,Flow rate:,58.33,L/m
14:20:14.167 -> Flow rate: 66.67 L/m,,,,20:14.2,->,Flow rate:,66.67,L/m
14:20:14.264 -> Flow rate: 66.67 L/m,,,,20:14.3,->,Flow rate:,66.67,L/m
14:20:14.358 -> Flow rate: 66.67 L/m,,,,20:14.4,->,Flow rate:,66.67,L/m
14:20:14.453 -> Flow rate: 66.67 L/m,,,,20:14.5,->,Flow rate:,66.67,L/m
14:20:14.596 -> Flow rate: 66.67 L/m,,,,20:14.6,->,Flow rate:,66.67,L/m
14:20:14.660 -> Flow rate: 66.67 L/m,,,,20:14.7,->,Flow rate:,66.67,L/m
14:20:14.758 -> Flow rate: 58.33 L/m,,,,20:14.8,->,Flow rate:,58.33,L/m
14:20:14.850 -> Flow rate: 66.67 L/m,,,,20:14.9,->,Flow rate:,66.67,L/m
14:20:14.993 -> Flow rate: 66.67 L/m,,,,20:15.0,->,Flow rate:,66.67,L/m
14:20:15.089 -> Flow rate: 58.33 L/m,,,,20:15.1,->,Flow rate:,58.33,L/m
14:20:15.183 -> Flow rate: 58.33 L/m,,,,20:15.2,->,Flow rate:,58.33,L/m
14:20:15.278 -> Flow rate: 58.33 L/m,,,,20:15.3,->,Flow rate:,58.33,L/m
14:20:15.373 -> Flow rate: 66.67 L/m,,,,20:15.4,->,Flow rate:,66.67,L/m
14:20:15.485 -> Flow rate: 58.33 L/m,,,,20:15.5,->,Flow rate:,58.33,L/m
14:20:15.580 -> Flow rate: 66.67 L/m,,,,20:15.6,->,Flow rate:,66.67,L/m
14:20:15.674 -> Flow rate: 66.67 L/m,,,,20:15.7,->,Flow rate:,66.67,L/m
14:20:15.753 -> Flow rate: 58.33 L/m,,,,20:15.8,->,Flow rate:,58.33,L/m
14:20:15.897 -> Flow rate: 66.67 L/m,,,,20:15.9,->,Flow rate:,66.67,L/m
14:20:15.993 -> Flow rate: 66.67 L/m,,,,20:16.0,->,Flow rate:,66.67,L/m
14:20:16.087 -> Flow rate: 66.67 L/m,,,,20:16.1,->,Flow rate:,66.67,L/m
14:20:16.182 -> Flow rate: 66.67 L/m,,,,20:16.2,->,Flow rate:,66.67,L/m
14:20:16.263 -> Flow rate: 66.67 L/m,,,,20:16.3,->,Flow rate:,66.67,L/m
14:20:16.357 -> Flow rate: 66.67 L/m,,,,20:16.4,->,Flow rate:,66.67,L/m
14:20:16.452 -> Flow rate: 66.67 L/m,,,,20:16.5,->,Flow rate:,66.67,L/m
14:20:16.596 -> Flow rate: 66.67 L/m,,,,20:16.6,->,Flow rate:,66.67,L/m
14:20:16.692 -> Flow rate: 66.67 L/m,,,,20:16.7,->,Flow rate:,66.67,L/m
14:20:16.786 -> Flow rate: 66.67 L/m,,,,20:16.8,->,Flow rate:,66.67,L/m
14:20:16.865 -> Flow rate: 66.67 L/m,,,,20:16.9,->,Flow rate:,66.67,L/m
14:20:16.961 -> Flow rate: 66.67 L/m,,,,20:17.0,->,Flow rate:,66.67,L/m
14:20:17.073 -> Flow rate: 66.67 L/m,,,,20:17.1,->,Flow rate:,66.67,L/m
14:20:17.168 -> Flow rate: 66.67 L/m,,,,20:17.2,->,Flow rate:,66.67,L/m
14:20:17.262 -> Flow rate: 66.67 L/m,,,,20:17.3,->,Flow rate:,66.67,L/m
14:20:17.358 -> Flow rate: 66.67 L/m,,,,20:17.4,->,Flow rate:,66.67,L/m
14:20:17.453 -> Flow rate: 66.67 L/m,,,,20:17.5,->,Flow rate:,66.67,L/m
14:20:17.551 -> Flow rate: 66.67 L/m,,,,20:17.6,->,Flow rate:,66.67,L/m
14:20:17.690 -> Flow rate: 58.33 L/m,,,,20:17.7,->,Flow rate:,58.33,L/m
14:20:17.785 -> Flow rate: 66.67 L/m,,,,20:17.8,->,Flow rate:,66.67,L/m
14:20:17.917 -> Flow rate: 58.33 L/m,,,,20:17.9,->,Flow rate:,58.33,L/m
14:20:17.962 -> Flow rate: 58.33 L/m,,,,20:18.0,->,Flow rate:,58.33,L/m
14:20:18.055 -> Flow rate: 66.67 L/m,,,,20:18.1,->,Flow rate:,66.67,L/m
14:20:18.150 -> Flow rate: 58.33 L/m,,,,20:18.2,->,Flow rate:,58.33,L/m
14:20:18.292 -> Flow rate: 58.33 L/m,,,,20:18.3,->,Flow rate:,58.33,L/m
14:20:18.387 -> Flow rate: 58.33 L/m,,,,20:18.4,->,Flow rate:,58.33,L/m
14:20:18.481 -> Flow rate: 66.67 L/m,,,,20:18.5,->,Flow rate:,66.67,L/m
14:20:18.578 -> Flow rate: 58.33 L/m,,,,20:18.6,->,Flow rate:,58.33,L/m
14:20:18.670 -> Flow rate: 66.67 L/m,,,,20:18.7,->,Flow rate:,66.67,L/m
14:20:18.765 -> Flow rate: 66.67 L/m,,,,20:18.8,->,Flow rate:,66.67,L/m
14:20:18.860 -> Flow rate: 66.67 L/m,,,,20:18.9,->,Flow rate:,66.67,L/m
14:20:18.955 -> Flow rate: 66.67 L/m,,,,20:19.0,->,Flow rate:,66.67,L/m
14:20:19.097 -> Flow rate: 66.67 L/m,,,,20:19.1,->,Flow rate:,66.67,L/m
14:20:19.152 -> Flow rate: 66.67 L/m,,,,20:19.2,->,Flow rate:,66.67,L/m
14:20:19.254 -> Flow rate: 66.67 L/m,,,,20:19.3,->,Flow rate:,66.67,L/m
14:20:19.350 -> Flow rate: 66.67 L/m,,,,20:19.4,->,Flow rate:,66.67,L/m
14:20:19.492 -> Flow rate: 66.67 L/m,,,,20:19.5,->,Flow rate:,66.67,L/m
14:20:19.586 -> Flow rate: 66.67 L/m,,,,20:19.6,->,Flow rate:,66.67,L/m
14:20:19.681 -> Flow rate: 66.67 L/m,,,,20:19.7,->,Flow rate:,66.67,L/m
14:20:19.776 -> Flow rate: 66.67 L/m,,,,20:19.8,->,Flow rate:,66.67,L/m
14:20:19.870 -> Flow rate: 66.67 L/m,,,,20:19.9,->,Flow rate:,66.67,L/m
14:20:19.966 -> Flow rate: 66.67 L/m,,,,20:20.0,->,Flow rate:,66.67,L/m
14:20:20.062 -> Flow rate: 66.67 L/m,,,,20:20.1,->,Flow rate:,66.67,L/m
14:20:20.161 -> Flow rate: 58.33 L/m,,,,20:20.2,->,Flow rate:,58.33,L/m
14:20:20.297 -> Flow rate: 58.33 L/m,,,,20:20.3,->,Flow rate:,58.33,L/m
14:20:20.393 -> Flow rate: 58.33 L/m,,,,20:20.4,->,Flow rate:,58.33,L/m
